claim_id,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
117695,2023,AGOSTO,JUEVES,10/8/2023,17,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636423","-58,484099",1
117696,2023,SEPTIEMBRE,MARTES,26/9/2023,19,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636133","-58,484305",1
117697,2023,NOVIEMBRE,DOMINGO,5/11/2023,8,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635809","-58,484106",1
117698,2023,FEBRERO,MIERCOLES,22/2/2023,20,Robo,Robo automotor,SI,NO,VELEZ SARSFIELD,CC-10,"-34,635558","-58,483379",1
117699,2023,MAYO,JUEVES,11/5/2023,15,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63539","-58,482664",1
117700,2023,JULIO,JUEVES,6/7/2023,18,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635731","-58,482767",1
117701,2023,JULIO,SABADO,29/7/2023,13,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635466","-58,482812",1
117702,2023,AGOSTO,MARTES,8/8/2023,16,Robo,Robo total,NO,SI,VELEZ SARSFIELD,CC-10,"-34,63552811","-58,48287413",1
117703,2023,OCTUBRE,DOMINGO,15/10/2023,17,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63561444","-58,48352778",1
117704,2023,OCTUBRE,MARTES,17/10/2023,13,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635466","-58,482812",1
117705,2023,NOVIEMBRE,LUNES,13/11/2023,10,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63561444","-58,48352778",1
117706,2023,DICIEMBRE,SABADO,2/12/2023,11,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635633","-58,483354",1
117707,2023,ABRIL,DOMINGO,2/4/2023,9,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635466","-58,482812",1
117757,2023,OCTUBRE,VIERNES,13/10/2023,0,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634744","-58,483116",1
117758,2023,FEBRERO,SABADO,4/2/2023,14,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63503","-58,483014",1
117759,2023,AGOSTO,MIERCOLES,30/8/2023,12,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634825","-58,483087",1
117760,2023,AGOSTO,SABADO,26/8/2023,9,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63503","-58,483014",1
117761,2023,JULIO,SABADO,22/7/2023,23,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,633277","-58,483319",1
117762,2023,JULIO,VIERNES,21/7/2023,18,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63410085","-58,48294165",1
117764,2023,SEPTIEMBRE,MARTES,5/9/2023,21,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634292","-58,483149",1
117783,2023,MARZO,MARTES,14/3/2023,21,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638952","-58,482886",1
117784,2023,AGOSTO,VIERNES,4/8/2023,12,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,639144","-58,483066",1
117785,2023,MAYO,MARTES,16/5/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638952","-58,482886",1
117786,2023,FEBRERO,LUNES,6/2/2023,7,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638977","-58,48288",1
117788,2023,FEBRERO,DOMINGO,19/2/2023,15,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638977","-58,48288",1
117789,2023,SEPTIEMBRE,VIERNES,15/9/2023,17,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638977","-58,48288",1
117790,2023,OCTUBRE,VIERNES,6/10/2023,15,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638977","-58,48288",1
117791,2023,ENERO,VIERNES,13/1/2023,22,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637843","-58,480402",1
117792,2023,NOVIEMBRE,LUNES,13/11/2023,13,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63754076","-58,47995591",1
117793,2023,JUNIO,SABADO,10/6/2023,13,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637843","-58,480402",1
117794,2023,FEBRERO,VIERNES,17/2/2023,0,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63732012","-58,48061616",1
117795,2023,MARZO,LUNES,20/3/2023,9,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637573","-58,480556",1
117796,2023,MAYO,MARTES,16/5/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637166","-58,48072",1
117797,2023,JUNIO,DOMINGO,25/6/2023,23,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63788281","-58,48053809",1
117798,2023,JULIO,MIERCOLES,12/7/2023,12,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63744","-58,479741",1
117799,2023,OCTUBRE,JUEVES,19/10/2023,10,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63708","-58,480754",1
117800,2023,NOVIEMBRE,VIERNES,17/11/2023,14,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63717962","-58,4790057",1
117801,2023,DICIEMBRE,SABADO,9/12/2023,8,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637213","-58,479245",1
117802,2023,JUNIO,JUEVES,22/6/2023,13,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637232","-58,479286",1
117803,2023,JUNIO,DOMINGO,11/6/2023,16,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637262","-58,478918",1
117804,2023,MAYO,SABADO,13/5/2023,6,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63743291","-58,47955633",1
117820,2023,JULIO,JUEVES,13/7/2023,2,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63662","-58,480768",1
117821,2023,JULIO,VIERNES,14/7/2023,15,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63658463","-58,48085767",1
117822,2023,AGOSTO,SABADO,5/8/2023,14,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63651679","-58,48081421",1
117823,2023,OCTUBRE,MARTES,17/10/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63662","-58,480768",1
117829,2023,ENERO,VIERNES,27/1/2023,0,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638338","-58,484379",1
117830,2023,NOVIEMBRE,DOMINGO,26/11/2023,22,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638165","-58,481895",1
117831,2023,AGOSTO,JUEVES,31/8/2023,15,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63825247","-58,48136472",1
117832,2023,FEBRERO,SABADO,18/2/2023,8,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637772","-58,481942",1
117833,2023,MARZO,LUNES,13/3/2023,5,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637665","-58,482027",1
117834,2023,JUNIO,VIERNES,2/6/2023,6,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637989","-58,481865",1
117835,2023,JUNIO,LUNES,26/6/2023,20,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638228","-58,481461",1
117836,2023,OCTUBRE,MARTES,31/10/2023,18,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637886","-58,482569",1
117837,2023,DICIEMBRE,MARTES,12/12/2023,14,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637925","-58,482651",1
117838,2023,DICIEMBRE,MIERCOLES,13/12/2023,9,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638018","-58,481947",1
117839,2023,MARZO,MIERCOLES,15/3/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637994","-58,483509",1
117840,2023,ABRIL,MIERCOLES,19/4/2023,11,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638078","-58,484021",1
117841,2023,MAYO,DOMINGO,21/5/2023,6,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63810535","-58,48408101",1
117842,2023,AGOSTO,VIERNES,11/8/2023,23,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63797232","-58,48274677",1
117843,2023,OCTUBRE,JUEVES,19/10/2023,8,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637994","-58,483509",1
117844,2023,NOVIEMBRE,MIERCOLES,1/11/2023,23,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637944","-58,483625",1
117845,2023,NOVIEMBRE,JUEVES,16/11/2023,9,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63816","-58,483544",1
117846,2023,MAYO,MIERCOLES,3/5/2023,21,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63804788","-58,48404727",1
117889,2023,DICIEMBRE,JUEVES,14/12/2023,12,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63495961","-58,48128645",1
117891,2023,DICIEMBRE,DOMINGO,24/12/2023,3,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,633777","-58,482679",1
117903,2023,JUNIO,SABADO,10/6/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634155","-58,482199",1
117908,2023,DICIEMBRE,JUEVES,7/12/2023,18,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,633901","-58,482661",1
117910,2023,MARZO,MIERCOLES,29/3/2023,5,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63472689","-58,48308208",1
117911,2023,JUNIO,MIERCOLES,14/6/2023,8,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634919","-58,483054",1
117912,2023,ENERO,LUNES,30/1/2023,16,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634026","-58,483297",1
117913,2023,MARZO,LUNES,6/3/2023,5,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634919","-58,483054",1
117914,2023,FEBRERO,JUEVES,9/2/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634292","-58,483149",1
117915,2023,AGOSTO,SABADO,5/8/2023,20,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634075","-58,482937",1
117916,2023,AGOSTO,SABADO,12/8/2023,9,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634075","-58,482937",1
117917,2023,SEPTIEMBRE,LUNES,25/9/2023,14,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634292","-58,483149",1
117918,2023,DICIEMBRE,LUNES,11/12/2023,6,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,634673","-58,483045",1
117919,2023,MAYO,MIERCOLES,31/5/2023,22,Robo,Robo total,SI,NO,VELEZ SARSFIELD,CC-10,"-34,633832","-58,483217",1
117920,2023,JULIO,MARTES,18/7/2023,13,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,633438","-58,483292",1
117967,2023,DICIEMBRE,DOMINGO,10/12/2023,22,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,633315","-58,484685",1
